Id,Prediction1
80,1.9666579
81,1.7529622
82,1.512378
83,1.540282
84,1.6377417
85,1.7716128
86,1.4939809
87,1.3880585
88,1.4034706
89,1.9498469
90,1.9505885
91,1.2570002
92,1.5402534
93,1.7329037
94,2.4118636
95,2.2516658
96,2.833857
97,2.7362053
98,3.1136317
99,3.3291578
100,2.8897152
101,2.0438924
102,1.7321209
103,1.9541367
104,2.5278168
105,2.4374595
106,2.5730433
158,1.9382303
159,2.1642175
160,2.2232401
161,2.4331832
162,2.3988366
163,2.089772
164,1.8621986
165,1.7467517
166,1.9777699
167,2.22396
168,2.391427
169,2.6900623
170,2.908643
171,2.533926
172,3.2922418
173,3.3727891
174,3.2635098
175,3.1059594
176,3.378232
177,2.7739813
178,3.478296
179,3.7497306
180,3.044098
181,3.3617423
182,3.5598388
183,2.5713606
184,2.409499
185,2.497112
186,2.03785
187,1.9092859
188,1.9878067
189,1.6984423
190,2.3077893
191,3.0638146
192,3.4195921
193,2.6943595
194,2.1180477
195,1.8555669
196,1.9073217
197,3.0461738
198,2.9711344
199,3.0434341
200,2.9524574
201,2.7789423
202,2.692646
203,2.4744072
204,2.7365797
205,3.02439
206,2.42433
207,2.639236
208,2.7449145
1080,1.9666579
1081,1.7529622
1082,1.512378
1083,1.540282
1084,1.6377417
1085,1.7716128
1086,1.4939809
1087,1.3880585
1088,1.4034706
1089,1.9498469
1090,1.9505885
1091,1.2570002
1092,1.5402534
1093,1.7329037
1094,2.4118636
1095,2.2516658
1096,2.833857
1097,2.7362053
1098,3.1136317
1099,3.3291578
1100,2.8897152
1101,2.0438924
1102,1.7321209
1103,1.9541367
1104,2.5278168
1105,2.4374595
1106,2.5730433
1158,1.9382303
1159,2.1642175
1160,2.2232401
1161,2.4331832
1162,2.3988366
1163,2.089772
1164,1.8621986
1165,1.7467517
1166,1.9777699
1167,2.22396
1168,2.391427
1169,2.6900623
1170,2.908643
1171,2.533926
1172,3.2922418
1173,3.3727891
1174,3.2635098
1175,3.1059594
1176,3.378232
1177,2.7739813
1178,3.478296
1179,3.7497306
1180,3.044098
1181,3.3617423
1182,3.5598388
1183,2.5713606
1184,2.409499
1185,2.497112
1186,2.03785
1187,1.9092859
1188,1.9878067
1189,1.6984423
1190,2.3077893
1191,3.0638146
1192,3.4195921
1193,2.6943595
1194,2.1180477
1195,1.8555669
1196,1.9073217
1197,3.0461738
1198,2.9711344
1199,3.0434341
1200,2.9524574
1201,2.7789423
1202,2.692646
1203,2.4744072
1204,2.7365797
1205,3.02439
1206,2.42433
1207,2.639236
1208,2.7449145
