person_id,date,Id,Prediction1
person_9,02.06.2017 10:03:36,1,3.0
person_9,09.06.2017 8:34:08,2,3.0
person_9,16.06.2017 10:19:03,3,3.0
person_9,23.06.2017 12:08:57,4,3.0
person_9,30.06.2017 12:48:39,5,4.0
person_9,07.07.2017 13:33:31,6,3.0
person_9,14.07.2017 5:14:13,7,3.0
person_9,21.07.2017 5:10:07,8,3.0
person_9,28.07.2017 5:19:23,9,3.0
person_9,04.08.2017 5:38:31,10,3.0
person_9,11.08.2017 4:52:30,11,3.0
person_9,18.08.2017 5:07:36,12,3.0
person_9,25.08.2017 1:58:06,13,3.0
person_9,01.09.2017 6:01:18,14,4.0
person_9,08.09.2017 13:18:50,15,3.0
person_9,09.09.2017 15:19:46,16,3.0
person_9,22.09.2017 1:40:09,17,3.0
person_9,29.09.2017 5:11:48,18,3.0
person_9,06.10.2017 2:14:29,19,3.0
person_9,13.10.2017 3:35:02,20,3.0
person_9,20.10.2017 5:54:33,21,3.0
person_9,27.10.2017 2:17:20,22,3.0
person_9,03.11.2017 1:01:30,23,3.0
person_9,10.11.2017 2:49:04,24,3.0
person_9,17.11.2017 5:12:40,25,3.0
person_9,24.11.2017 4:21:09,26,3.0
person_5,02.06.2017 15:14:58,27,3.0
person_5,09.06.2017 9:41:16,28,3.0
person_5,16.06.2017 9:01:41,29,1.0
person_5,23.06.2017 11:29:50,30,4.0
person_5,01.07.2017 11:21:02,31,4.0
person_5,07.07.2017 5:28:22,32,3.0
person_5,14.07.2017 5:10:31,33,3.0
person_5,21.07.2017 5:11:25,34,3.0
person_5,28.07.2017 5:22:09,35,3.0
person_5,04.08.2017 8:08:10,36,3.0
person_5,11.08.2017 14:08:25,37,4.0
person_5,18.08.2017 13:58:21,38,3.0
person_5,25.08.2017 10:40:20,39,3.0
person_5,01.09.2017 6:00:23,40,4.0
person_5,08.09.2017 13:54:56,41,5.0
person_5,15.09.2017 5:20:46,42,5.0
person_5,22.09.2017 8:05:16,43,4.0
person_5,29.09.2017 5:12:59,44,4.0
person_5,06.10.2017 5:06:15,45,3.0
person_5,13.10.2017 6:18:25,46,3.0
person_5,20.10.2017 5:17:22,47,3.0
person_5,27.10.2017 5:40:49,48,3.0
person_5,03.11.2017 5:30:10,49,3.0
person_5,10.11.2017 5:32:43,50,3.0
person_5,17.11.2017 5:07:33,51,3.0
person_5,24.11.2017 5:17:24,52,3.0
person_1,26.05.2017 18:29:57,53,1.0
person_1,02.06.2017 8:37:02,54,1.0
person_1,09.06.2017 17:24:58,55,1.0
person_1,16.06.2017 15:46:49,56,1.0
person_1,23.06.2017 9:59:20,57,1.0
person_1,30.06.2017 17:15:47,58,1.0
person_1,07.07.2017 9:49:16,59,1.0
person_1,14.07.2017 14:08:04,60,1.0
person_1,21.07.2017 17:39:15,61,1.0
person_1,28.07.2017 17:24:49,62,1.0
person_1,04.08.2017 15:21:06,63,1.0
person_1,11.08.2017 12:26:19,64,1.0
person_1,18.08.2017 17:20:25,65,1.0
person_1,25.08.2017 12:29:15,66,1.0
person_1,01.09.2017 17:11:59,67,1.0
person_1,08.09.2017 18:05:21,68,4.0
person_1,15.09.2017 11:39:53,69,4.0
person_1,22.09.2017 12:22:10,70,4.0
person_1,29.09.2017 11:07:23,71,4.0
person_1,06.10.2017 17:17:52,72,4.0
person_1,13.10.2017 11:12:34,73,4.0
person_1,20.10.2017 17:11:31,74,4.0
person_1,27.10.2017 17:49:23,75,4.0
person_1,03.11.2017 17:11:59,76,3.0
person_1,10.11.2017 17:54:55,77,3.0
person_1,17.11.2017 17:12:59,78,2.0
person_1,24.11.2017 17:05:24,79,1.0
person_2,02.06.2017 15:56:41,80,
person_2,09.06.2017 10:25:08,81,
person_2,16.06.2017 15:06:24,82,
person_2,23.06.2017 16:14:04,83,
person_2,30.06.2017 15:15:58,84,
person_2,07.07.2017 10:08:34,85,
person_2,14.07.2017 16:56:59,86,
person_2,21.07.2017 15:23:10,87,
person_2,28.07.2017 15:02:49,88,
person_2,04.08.2017 15:12:33,89,
person_2,11.08.2017 15:03:21,90,
person_2,18.08.2017 15:31:54,91,
person_2,25.08.2017 8:51:27,92,
person_2,01.09.2017 11:08:15,93,
person_2,08.09.2017 15:07:07,94,
person_2,15.09.2017 15:51:51,95,
person_2,22.09.2017 15:34:50,96,
person_2,29.09.2017 9:51:10,97,
person_2,06.10.2017 16:42:06,98,
person_2,13.10.2017 17:59:17,99,
person_2,20.10.2017 18:04:34,100,
person_2,27.10.2017 11:06:28,101,
person_2,03.11.2017 9:17:14,102,
person_2,10.11.2017 15:50:04,103,
person_2,17.11.2017 16:58:41,104,
person_2,24.11.2017 15:31:15,105,
person_2,01.12.2017 14:04:21,106,
person_10,09.06.2017 8:40:30,107,1.0
person_10,16.06.2017 8:59:43,108,1.0
person_10,23.06.2017 11:30:54,109,2.0
person_10,01.07.2017 11:20:59,110,3.0
person_10,07.07.2017 10:44:02,111,3.0
person_10,14.07.2017 7:30:54,112,3.0
person_10,21.07.2017 15:27:17,113,3.0
person_10,28.07.2017 8:18:07,114,3.0
person_10,04.08.2017 5:27:44,115,3.0
person_10,11.08.2017 8:48:01,116,3.0
person_10,18.08.2017 5:05:48,117,3.0
person_10,25.08.2017 6:12:14,118,3.0
person_10,01.09.2017 6:04:23,119,3.0
person_10,08.09.2017 11:16:20,120,4.0
person_10,15.09.2017 5:26:31,121,3.0
person_10,22.09.2017 8:04:31,122,3.0
person_10,29.09.2017 13:26:03,123,3.0
person_10,06.10.2017 15:14:11,124,2.0
person_10,13.10.2017 13:18:23,125,3.0
person_10,20.10.2017 11:24:10,126,3.0
person_10,27.10.2017 10:16:42,127,3.0
person_10,03.11.2017 5:29:19,128,1.0
person_10,10.11.2017 7:09:34,129,3.0
person_10,17.11.2017 13:33:19,130,1.0
person_10,23.11.2017 17:20:18,131,1.0
person_6,09.06.2017 12:19:35,132,4.0
person_6,16.06.2017 17:59:12,133,4.0
person_6,23.06.2017 18:08:53,134,4.0
person_6,30.06.2017 18:28:33,135,4.0
person_6,07.07.2017 16:57:44,136,2.0
person_6,14.07.2017 19:04:08,137,5.0
person_6,21.07.2017 21:50:27,138,4.0
person_6,28.07.2017 11:09:44,139,2.0
person_6,03.08.2017 16:01:36,140,5.0
person_6,11.08.2017 11:27:38,141,5.0
person_6,18.08.2017 17:07:04,142,5.0
person_6,25.08.2017 17:11:01,143,4.0
person_6,01.09.2017 17:39:22,144,4.0
person_6,08.09.2017 21:36:26,145,2.0
person_6,15.09.2017 20:51:22,146,4.0
person_6,22.09.2017 20:12:33,147,5.0
person_6,29.09.2017 21:28:26,148,4.0
person_6,06.10.2017 13:26:56,149,5.0
person_6,13.10.2017 13:33:51,150,4.0
person_6,20.10.2017 12:34:18,151,4.0
person_6,28.10.2017 21:08:40,152,4.0
person_6,03.11.2017 15:39:31,153,4.0
person_6,10.11.2017 20:10:57,154,5.0
person_6,17.11.2017 18:57:19,155,4.0
person_6,24.11.2017 20:19:54,156,3.0
person_6,03.12.2017 15:02:50,157,4.0
person_12,02.06.2017 9:40:41,158,
person_12,09.06.2017 7:46:13,159,
person_12,16.06.2017 7:54:20,160,
person_12,23.06.2017 7:56:53,161,
person_12,30.06.2017 8:09:49,162,
person_12,10.07.2017 7:32:11,163,
person_12,14.07.2017 9:32:16,164,
person_12,21.07.2017 7:54:24,165,
person_12,28.07.2017 8:29:14,166,
person_12,04.08.2017 8:19:09,167,
person_12,11.08.2017 8:22:31,168,
person_12,18.08.2017 8:11:47,169,
person_12,25.08.2017 8:25:51,170,
person_12,01.09.2017 11:34:30,171,
person_12,08.09.2017 13:37:56,172,
person_12,15.09.2017 11:47:58,173,
person_12,22.09.2017 15:45:06,174,
person_12,29.09.2017 14:53:50,175,
person_12,06.10.2017 16:53:54,176,
person_12,13.10.2017 11:23:32,177,
person_12,20.10.2017 9:34:54,178,
person_12,27.10.2017 19:24:57,179,
person_12,10.11.2017 16:53:41,180,
person_12,17.11.2017 20:47:03,181,
person_12,24.11.2017 14:43:05,182,
person_7,02.06.2017 16:51:14,183,
person_7,09.06.2017 9:47:15,184,
person_7,16.06.2017 6:54:13,185,
person_7,23.06.2017 6:51:30,186,
person_7,30.06.2017 4:50:07,187,
person_7,07.07.2017 8:03:08,188,
person_7,14.07.2017 5:23:35,189,
person_7,21.07.2017 5:41:55,190,
person_7,28.07.2017 6:00:17,191,
person_7,04.08.2017 6:33:19,192,
person_7,11.08.2017 8:16:58,193,
person_7,18.08.2017 6:49:13,194,
person_7,25.08.2017 5:18:05,195,
person_7,01.09.2017 8:20:09,196,
person_7,08.09.2017 6:11:04,197,
person_7,15.09.2017 5:16:24,198,
person_7,22.09.2017 6:10:05,199,
person_7,29.09.2017 6:06:59,200,
person_7,06.10.2017 5:08:40,201,
person_7,13.10.2017 5:16:41,202,
person_7,20.10.2017 5:34:11,203,
person_7,27.10.2017 11:08:34,204,
person_7,03.11.2017 16:10:31,205,
person_7,10.11.2017 5:41:40,206,
person_7,17.11.2017 13:46:13,207,
person_7,24.11.2017 9:20:03,208,
person_8,02.06.2017 16:54:11,209,3.0
person_8,09.06.2017 18:33:57,210,4.0
person_8,16.06.2017 19:49:17,211,3.0
person_8,23.06.2017 20:18:59,212,3.0
person_8,30.06.2017 20:11:43,213,3.0
person_8,07.07.2017 21:10:07,214,4.0
person_8,15.07.2017 10:50:44,215,3.0
person_8,21.07.2017 21:22:47,216,1.0
person_8,28.07.2017 20:31:00,217,1.0
person_8,04.08.2017 21:27:27,218,2.0
person_8,11.08.2017 22:06:38,219,4.0
person_8,19.08.2017 11:25:39,220,1.0
person_8,25.08.2017 21:58:58,221,2.0
person_8,01.09.2017 22:07:42,222,2.0
person_8,08.09.2017 22:49:11,223,2.0
person_8,16.09.2017 10:58:43,224,3.0
person_8,23.09.2017 11:19:28,225,2.0
person_8,29.09.2017 16:34:42,226,2.0
person_8,06.10.2017 22:43:20,227,4.0
person_8,13.10.2017 21:10:30,228,2.0
person_8,20.10.2017 22:26:13,229,3.0
person_8,28.10.2017 11:27:05,230,1.0
person_8,03.11.2017 21:50:45,231,2.0
person_8,10.11.2017 22:12:39,232,2.0
person_8,17.11.2017 22:25:10,233,3.0
person_8,24.11.2017 18:57:56,234,2.0
person_3,02.06.2017 18:49:14,235,3.0
person_3,09.06.2017 14:35:27,236,3.0
person_3,16.06.2017 14:14:57,237,1.0
person_3,23.06.2017 15:37:35,238,4.0
person_3,30.06.2017 16:00:36,239,3.0
person_3,07.07.2017 10:40:30,240,3.0
person_3,14.07.2017 16:57:39,241,1.0
person_3,21.07.2017 15:05:51,242,1.0
person_3,28.07.2017 14:39:28,243,1.0
person_3,04.08.2017 17:42:18,244,1.0
person_3,18.08.2017 16:33:26,245,1.0
person_3,25.08.2017 9:09:17,246,3.0
person_3,01.09.2017 15:02:43,247,3.0
person_3,08.09.2017 16:02:47,248,4.0
person_3,15.09.2017 10:12:46,249,3.0
person_3,22.09.2017 15:10:09,250,4.0
person_3,29.09.2017 10:57:23,251,3.0
person_3,06.10.2017 10:22:31,252,3.0
person_3,13.10.2017 15:14:00,253,4.0
person_3,20.10.2017 15:09:44,254,3.0
person_3,27.10.2017 15:52:39,255,4.0
person_3,03.11.2017 15:27:26,256,3.0
person_3,10.11.2017 17:21:52,257,4.0
person_3,17.11.2017 11:21:06,258,3.0
person_3,24.11.2017 9:15:55,259,2.0
person_3,01.12.2017 16:20:45,260,3.0
person_11,02.06.2017 15:13:35,261,3.0
person_11,11.06.2017 10:49:46,262,3.0
person_11,15.06.2017 10:42:53,263,3.0
person_11,23.06.2017 11:13:43,264,3.0
person_11,30.06.2017 17:10:27,265,3.0
person_11,07.07.2017 11:10:53,266,3.0
person_11,14.07.2017 16:34:05,267,2.0
person_11,21.07.2017 10:50:12,268,3.0
person_11,27.07.2017 21:15:57,269,4.0
person_11,03.08.2017 16:38:06,270,4.0
person_11,11.08.2017 10:52:04,271,4.0
person_11,18.08.2017 10:47:33,272,3.0
person_11,25.08.2017 8:37:06,273,4.0
person_11,01.09.2017 10:47:06,274,3.0
person_11,08.09.2017 18:05:03,275,3.0
person_11,15.09.2017 16:55:02,276,4.0
person_11,22.09.2017 17:21:28,277,4.0
person_11,29.09.2017 9:39:24,278,2.0
person_11,06.10.2017 10:02:33,279,4.0
person_11,13.10.2017 18:01:11,280,4.0
